"","subj","sex","MOTedu","MOTwork6","MOTwork18","MOTworkhours6","MOTworkhours18","FATwork6","FATwork18","FATworkhours","HouseholdIncome18","HouseholdIncome6","MOTedulevel","siblings","family_size","CDI","CDIcomp","noCDI","CDInouns","CHItokens","CHItypes","Log.CDI","Log.CDIcomp","Log.CDInouns","Log.Tokens","Log.Types","age_mom","PVTscore","caretype","outlier.CDI","outlier.CDIcomp","outlier.types","outlier.tokens"
"23",639,"F","Some college","Home","Home",0,0,"Full-time","Full-time",40,99999,99999,2,0,3,4,185,FALSE,2,7,5,1.6094379124341,5.2257466737132,1.09861228866811,2.07944154167984,1.79175946922805,34,126.7,"Home-only",FALSE,FALSE,FALSE,FALSE
"24",737,"M","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",40,74999,74999,4,1,4,27,341,FALSE,17,8,4,3.3322045101752,5.8348107370626,2.89037175789616,2.19722457733622,1.6094379124341,31,113.9,"Home-only",FALSE,FALSE,FALSE,FALSE
"25",518,"F","Doctorate","Full-time","Full-time",40,40,"Full-time","Full-time",40,125000,125000,6,1,4,52,311,FALSE,24,18,7,3.97029191355212,5.74300318780948,3.2188758248682,2.94443897916644,2.07944154167984,35,109.9,"Care-only",FALSE,FALSE,FALSE,FALSE
"26",151,"F","Some college","Home","Home",0,0,"Full-time","Full-time",45,74999,74999,2,2,5,NA,NA,TRUE,NA,2,2,NA,NA,NA,1.09861228866811,1.09861228866811,28,111,"Home-only",NA,NA,FALSE,FALSE
"27",893,"M","Masters Degree","Home","Home",0,0,"Full-time","Full-time",50,74999,74999,5,2,5,NA,NA,TRUE,NA,52,3,NA,NA,NA,3.97029191355212,1.38629436111989,34,117.8,"Home-only",NA,NA,FALSE,FALSE
"28",424,"M","Masters Degree","Home","Home",0,0,"Full-time","Full-time",40,124999,99999,5,1,4,20,181,FALSE,10,16,8,3.04452243772342,5.2040066870768,2.39789527279837,2.83321334405622,2.19722457733622,41,102.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"29",351,"F","Masters Degree","Home","Home",0,0,"Full-time","Full-time",40,124999,99999,5,1,4,40,198,FALSE,22,110,29,3.71357206670431,5.29330482472449,3.13549421592915,4.70953020131233,3.40119738166216,41,102.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"30",950,"F","High School","Part-time","Home",8,0,"Full-time","Full-time",40,54999,54999,1,0,3,2,324,FALSE,0,0,0,1.09861228866811,5.78382518232974,0,0,0,23,113.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"31",563,"F","Assoc Degree","Home","Home",0,0,"Full-time","Full-time",40,39999,39999,3,3,6,21,135,FALSE,10,28,7,3.09104245335832,4.91265488573605,2.39789527279837,3.36729582998647,2.07944154167984,37,98,"Home-only",FALSE,FALSE,FALSE,FALSE
"32",288,"M","Bachelors Degree","Home","Home",0,0,"Home","Full-time",40,22999,11999,4,1,5,10,338,FALSE,5,13,2,2.39789527279837,5.82600010738045,1.79175946922805,2.63905732961526,1.09861228866811,27,110.9,"Home-only",FALSE,FALSE,FALSE,FALSE
