subj,sex,MOTedu,MOTwork6,MOTwork18,MOTworkhours6,MOTworkhours18,FATwork6,FATwork18,FATworkhours,HouseholdIncome18,HouseholdIncome6,MOTedulevel,siblings,family_size,CDI,CDIcomp,noCDI,CDInouns,CHItokens,CHItypes,Log.CDI,Log.CDIcomp,Log.CDInouns,Log.Tokens,Log.Types,age_mom,PVTscore,caretype
926,F,Bachelors Degree,Full-time,Full-time,40,40,Full-time,Full-time,40,124999,124999,4,0,3,75,303,FALSE,45,6,4,4.330733340286331,5.717027701406222,3.828641396489095,1.9459101490553132,1.6094379124341003,35,111.6,Care-only
944,M,Masters Degree,Full-time,Full-time,40,40,Full-time,Home,0,99999,125e3,5,0,3,NA,NA,TRUE,NA,0,0,NA,NA,NA,0,0,38,126.5,Care-only
515,F,Masters Degree,Full-time,Full-time,40,40,Home,Home,0,54999,54999,5,1,4,32,296,FALSE,19,3,2,3.4965075614664802,5.6937321388027,2.995732273553991,1.3862943611198906,1.0986122886681098,35,121.4,Care-only
375,F,Masters Degree,Full-time,Full-time,40,40,Full-time,Full-time,40,125e3,125e3,5,2,5,15,287,FALSE,8,0,0,2.772588722239781,5.662960480135946,2.1972245773362196,0,0,32,121.4,Care-only
738,M,Masters Degree,Home,Home,0,0,Full-time,Full-time,50,124999,99999,5,0,3,20,257,FALSE,11,107,12,3.044522437723423,5.552959584921617,2.4849066497880004,4.68213122712422,2.5649493574615367,35,111.8,Home-only
575,M,Assoc Degree,Full-time,Full-time,40,40,Full-time,Full-time,40,54999,54999,3,0,3,2,24,FALSE,2,0,0,1.0986122886681098,3.2188758248682006,1.0986122886681098,0,0,33,107.3,Care-only
639,F,Some college,Home,Home,0,0,Full-time,Full-time,40,99999,99999,2,0,3,4,185,FALSE,2,7,5,1.6094379124341003,5.225746673713202,1.0986122886681098,2.0794415416798357,1.791759469228055,34,126.7,Home-only
168,F,Masters Degree,Part-time,Full-time,6,40,Full-time,Full-time,50,125e3,125e3,5,3,6,1,105,FALSE,1,8,2,0.6931471805599453,4.663439094112067,0.6931471805599453,2.1972245773362196,1.0986122886681098,37,122.7,Mixed-care
737,M,Bachelors Degree,Home,Home,0,0,Full-time,Full-time,40,74999,74999,4,1,4,27,341,FALSE,17,8,4,3.332204510175204,5.834810737062605,2.8903717578961645,2.1972245773362196,1.6094379124341003,31,113.9,Home-only
518,F,Doctorate,Full-time,Full-time,40,40,Full-time,Full-time,40,125e3,125e3,6,1,4,52,311,FALSE,24,18,7,3.970291913552122,5.7430031878094825,3.2188758248682006,2.9444389791664403,2.0794415416798357,35,109.9,Care-only
151,F,Some college,Home,Home,0,0,Full-time,Full-time,45,74999,74999,2,2,5,NA,NA,TRUE,NA,2,2,NA,NA,NA,1.0986122886681098,1.0986122886681098,28,111,Home-only
893,M,Masters Degree,Home,Home,0,0,Full-time,Full-time,50,74999,74999,5,2,5,NA,NA,TRUE,NA,52,3,NA,NA,NA,3.970291913552122,1.3862943611198906,34,117.8,Home-only
424,M,Masters Degree,Home,Home,0,0,Full-time,Full-time,40,124999,99999,5,1,4,20,181,FALSE,10,16,8,3.044522437723423,5.204006687076795,2.3978952727983707,2.833213344056216,2.1972245773362196,41,102.2,Home-only
351,F,Masters Degree,Home,Home,0,0,Full-time,Full-time,40,124999,99999,5,1,4,40,198,FALSE,22,110,29,3.713572066704308,5.293304824724492,3.1354942159291497,4.709530201312334,3.4011973816621555,41,102.2,Home-only
950,F,High School,Part-time,Home,8,0,Full-time,Full-time,40,54999,54999,1,0,3,2,324,FALSE,0,0,0,1.0986122886681098,5.783825182329737,0,0,0,23,113.2,Home-only
563,F,Assoc Degree,Home,Home,0,0,Full-time,Full-time,40,39999,39999,3,3,6,21,135,FALSE,10,28,7,3.091042453358316,4.912654885736052,2.3978952727983707,3.367295829986474,2.0794415416798357,37,98,Home-only
288,M,Bachelors Degree,Home,Home,0,0,Home,Full-time,40,22999,11999,4,1,5,10,338,FALSE,5,13,2,2.3978952727983707,5.82600010738045,1.791759469228055,2.6390573296152584,1.0986122886681098,27,110.9,Home-only
220,M,Bachelors Degree,Home,Part-time,0,16,Home,Home,NA,22999,22999,4,0,3,17,55,FALSE,9,78,7,2.8903717578961645,4.02535169073515,2.302585092994046,4.3694478524670215,2.0794415416798357,31,118.1,Mixed-care
